Rank	Word	TF-IDF	TF	IDF
1	破碎	0.022479	0.0173	1.2977
2	WBS	0.014464	0.0079	1.8265
3	RBS	0.013792	0.0072	1.9218
4	分解	0.009634	0.0074	1.2977
5	带时	0.009190	0.0025	3.7136
6	预报	0.005335	0.0030	1.7966
7	文中	0.005207	0.0025	2.1041
8	围岩	0.004596	0.0049	0.9286
9	关平	0.004583	0.0010	4.6299
10	雪海	0.004583	0.0010	4.6299
11	鲁梅	0.004583	0.0010	4.6299
12	袁斌	0.004583	0.0010	4.6299
13	姜凌鹏	0.004583	0.0010	4.6299
14	后门	0.004583	0.0010	4.6299
15	耦合	0.004315	0.0035	1.2455
16	红砂岩	0.004182	0.0010	4.2244
17	矩阵	0.003974	0.0045	0.8922
18	掌子面	0.003974	0.0045	0.8922
19	田瑞忠	0.003897	0.0010	3.9367
20	带处	0.003897	0.0010	3.9367
21	吸水性	0.003897	0.0010	3.9367
22	济南	0.003883	0.0015	2.6150
23	气候	0.003874	0.0022	1.7395
24	含水量	0.003872	0.0020	1.9557
25	闪长岩	0.003676	0.0010	3.7136
26	花岗	0.003676	0.0010	3.7136
27	斑岩	0.003676	0.0010	3.7136
28	极易	0.003645	0.0025	1.4729
29	喷涌	0.003645	0.0025	1.4729
30	重大	0.003625	0.0035	1.0463
31	刘辉	0.003495	0.0010	3.5313
32	注双液	0.003343	0.0010	3.3771
33	穿越	0.003313	0.0148	0.2231
34	超前	0.003167	0.0025	1.2800
35	青岛	0.003139	0.0020	1.5853
36	冬季	0.003094	0.0010	3.1258
37	加油站	0.003094	0.0010	3.1258
38	前方	0.003040	0.0025	1.2287
39	可为	0.002990	0.0010	3.0204
40	居民区	0.002990	0.0010	3.0204
41	fractured	0.002923	0.0007	3.9367
42	土量	0.002809	0.0010	2.8381
43	识别	0.002725	0.0040	0.6883
44	建筑群	0.002657	0.0010	2.6840
45	不良	0.002649	0.0030	0.8922
46	性质	0.002649	0.0030	0.8922
47	砾砂	0.002588	0.0010	2.6150
48	zones	0.002507	0.0007	3.3771
49	Jinan	0.002507	0.0007	3.3771
50	construction	0.002501	0.0040	0.6317
51	清单	0.002464	0.0015	1.6594
52	黏性	0.002426	0.0015	1.6341
53	施工工艺	0.002362	0.0022	1.0603
54	连续性	0.002354	0.0010	2.3786
55	显得	0.002354	0.0010	2.3786
56	短时间	0.002354	0.0010	2.3786
57	噪音	0.002304	0.0010	2.3273
58	细分	0.002304	0.0010	2.3273
59	THROUGH	0.002291	0.0005	4.6299
60	FRACTURED	0.002291	0.0005	4.6299
61	ZONES	0.002291	0.0005	4.6299
62	温琦	0.002291	0.0005	4.6299
63	苏锐	0.002291	0.0005	4.6299
64	同圆	0.002291	0.0005	4.6299
65	中烟	0.002291	0.0005	4.6299
66	绿城	0.002291	0.0005	4.6299
67	ban	0.002291	0.0005	4.6299
68	inevitable	0.002291	0.0005	4.6299
69	encounter	0.002291	0.0005	4.6299
70	nels	0.002291	0.0005	4.6299
71	穿桥	0.002291	0.0005	4.6299
72	机毁	0.002291	0.0005	4.6299
73	人亡	0.002291	0.0005	4.6299
74	王发	0.002291	0.0005	4.6299
75	包都	0.002291	0.0005	4.6299
76	成功率	0.002291	0.0005	4.6299
77	过风井	0.002291	0.0005	4.6299
78	管征	0.002291	0.0005	4.6299
79	博物馆	0.002291	0.0005	4.6299
80	井围	0.002291	0.0005	4.6299
