Rank	Word	TF-IDF	TF	IDF
1	员工	0.011695	0.0051	2.2785
2	管理体系	0.006835	0.0040	1.7121
3	施工人员	0.006025	0.0068	0.8804
4	灌注	0.005965	0.0023	2.6150
5	责任	0.005858	0.0034	1.7121
6	陈浩	0.005281	0.0011	4.6299
7	必须	0.004898	0.0080	0.6135
8	文化	0.004893	0.0023	2.1450
9	选用	0.004838	0.0046	1.0603
10	牵扯	0.004818	0.0011	4.2244
11	优质	0.004624	0.0023	2.0272
12	举办	0.004490	0.0011	3.9367
13	控制工程	0.004236	0.0011	3.7136
14	建筑工地	0.004236	0.0011	3.7136
15	图纸	0.004167	0.0023	1.8265
16	所以	0.004068	0.0040	1.0189
17	坚固	0.003852	0.0011	3.3771
18	严格管理	0.003700	0.0011	3.2436
19	完好	0.003670	0.0017	2.1450
20	意识	0.003616	0.0023	1.5853
21	工地	0.003600	0.0017	2.1041
22	促进	0.003563	0.0023	1.5618
23	水泥	0.003456	0.0029	1.2121
24	从而	0.003448	0.0086	0.4030
25	他们	0.003288	0.0017	1.9218
26	部位	0.003263	0.0034	0.9536
27	设计图	0.003237	0.0011	2.8381
28	制度	0.003219	0.0023	1.4110
29	刀具	0.003096	0.0046	0.6786
30	才能	0.003043	0.0023	1.3340
31	部门	0.003001	0.0023	1.3157
32	一些	0.002984	0.0029	1.0463
33	建筑安全	0.002983	0.0011	2.6150
34	顺利完成	0.002909	0.0011	2.5504
35	这样	0.002841	0.0023	1.2455
36	人身安全	0.002840	0.0011	2.4898
37	危险	0.002755	0.0029	0.9663
38	工人	0.002754	0.0017	1.6094
39	坍塌	0.002748	0.0040	0.6883
40	比如	0.002712	0.0017	1.5853
41	安全隐患	0.002691	0.0023	1.1799
42	机制	0.002656	0.0023	1.1641
43	源头	0.002654	0.0011	2.3273
44	姜宝	0.002640	0.0006	4.6299
45	韩旭鹏	0.002640	0.0006	4.6299
46	初见成效	0.002640	0.0006	4.6299
47	发展潜力	0.002640	0.0006	4.6299
48	度太快	0.002640	0.0006	4.6299
49	充分认识	0.002640	0.0006	4.6299
50	表面化	0.002640	0.0006	4.6299
51	人手	0.002640	0.0006	4.6299
52	很重	0.002640	0.0006	4.6299
53	控制力	0.002640	0.0006	4.6299
54	要适	0.002640	0.0006	4.6299
55	添加物	0.002640	0.0006	4.6299
56	道德品质	0.002640	0.0006	4.6299
57	有条理	0.002640	0.0006	4.6299
58	所有人	0.002640	0.0006	4.6299
59	记得	0.002640	0.0006	4.6299
60	从这一点	0.002640	0.0006	4.6299
61	气氛	0.002640	0.0006	4.6299
62	杨喜	0.002640	0.0006	4.6299
63	朱颖	0.002640	0.0006	4.6299
64	刘佩	0.002640	0.0006	4.6299
65	吉鑫	0.002640	0.0006	4.6299
66	柴嘉辉	0.002640	0.0006	4.6299
67	丁修恒	0.002640	0.0006	4.6299
68	于仕才	0.002640	0.0006	4.6299
69	张艳伟	0.002640	0.0006	4.6299
70	大宁	0.002640	0.0006	4.6299
71	迁人	0.002640	0.0006	4.6299
72	施工单位	0.002620	0.0023	1.1486
73	另外	0.002585	0.0023	1.1334
74	浇筑	0.002495	0.0011	2.1875
75	更好	0.002484	0.0023	1.0889
76	行业	0.002484	0.0017	1.4518
77	质量	0.002455	0.0120	0.2050
78	清除	0.002446	0.0011	2.1450
79	变革	0.002409	0.0006	4.2244
80	机突	0.002409	0.0006	4.2244
