Rank	Word	TF-IDF	TF	IDF
1	开仓	0.031079	0.0148	2.1041
2	灰岩	0.018135	0.0088	2.0649
3	带压	0.015272	0.0060	2.5504
4	刀具	0.014358	0.0212	0.6786
5	软硬	0.014135	0.0088	1.6094
6	压块	0.012572	0.0032	3.9367
7	不均	0.011129	0.0092	1.2121
8	溶洞	0.010937	0.0060	1.8265
9	复合	0.010295	0.0096	1.0745
10	岩溶	0.009441	0.0068	1.3912
11	高强度	0.009096	0.0040	2.2785
12	滚刀	0.008750	0.0048	1.8265
13	复合型	0.008458	0.0024	3.5313
14	岩块	0.008089	0.0024	3.3771
15	发育	0.007775	0.0056	1.3912
16	沥青	0.007048	0.0020	3.5313
17	No	0.006955	0.0048	1.4518
18	富水	0.006558	0.0068	0.9663
19	石灰岩	0.006474	0.0020	3.2436
20	TN	0.006286	0.0016	3.9367
21	建筑机械	0.006239	0.0020	3.1258
22	离析	0.006239	0.0020	3.1258
23	磨损	0.005834	0.0076	0.7691
24	刀盘	0.005751	0.0160	0.3602
25	Segregation	0.005545	0.0012	4.6299
26	风化	0.005272	0.0060	0.8804
27	动火	0.005179	0.0016	3.2436
28	泥岩	0.005104	0.0028	1.8265
29	SURVEYING	0.005059	0.0012	4.2244
30	MACHINERY	0.005059	0.0012	4.2244
31	楔块	0.005059	0.0012	4.2244
32	贯入度	0.004970	0.0020	2.4898
33	配置	0.004946	0.0048	1.0326
34	揭露	0.004856	0.0020	2.4326
35	专题	0.004715	0.0012	3.9367
36	溶槽	0.004715	0.0012	3.9367
37	更换	0.004464	0.0040	1.1183
38	常压	0.004455	0.0020	2.2320
39	携渣	0.004447	0.0012	3.7136
40	土洞	0.004447	0.0012	3.7136
41	双联	0.004447	0.0012	3.7136
42	上坡	0.004404	0.0016	2.7581
43	转向	0.004286	0.0016	2.6840
44	高强	0.004229	0.0012	3.5313
45	无规律	0.004229	0.0012	3.5313
46	长安	0.004073	0.0016	2.5504
47	扭矩	0.003909	0.0040	0.9792
48	岩面	0.003885	0.0012	3.2436
49	钻杆	0.003885	0.0012	3.2436
50	泥膜	0.003884	0.0016	2.4326
51	粉砂	0.003780	0.0028	1.3527
52	总第	0.003743	0.0012	3.1258
53	转速	0.003718	0.0032	1.1641
54	破岩	0.003716	0.0016	2.3273
55	李光耀	0.003696	0.0008	4.6299
56	姜腾	0.003696	0.0008	4.6299
57	先以	0.003696	0.0008	4.6299
58	软岩区	0.003696	0.0008	4.6299
59	液刀	0.003696	0.0008	4.6299
60	蹦齿	0.003696	0.0008	4.6299
61	Asphalt	0.003696	0.0008	4.6299
62	Paving	0.003696	0.0008	4.6299
63	Powder	0.003696	0.0008	4.6299
64	混合	0.003686	0.0024	1.5388
65	卡住	0.003503	0.0012	2.9251
66	环流	0.003399	0.0012	2.8381
67	上次	0.003373	0.0008	4.2244
68	进排	0.003373	0.0008	4.2244
69	screen	0.003373	0.0008	4.2244
70	闵凡路	0.003373	0.0008	4.2244
71	技术难题	0.003303	0.0012	2.7581
72	单轴	0.003303	0.0012	2.7581
73	切削	0.003297	0.0028	1.1799
74	开口	0.003212	0.0020	1.6094
75	黎新亮	0.003143	0.0008	3.9367
76	无规则	0.003143	0.0008	3.9367
77	跳动	0.003143	0.0008	3.9367
78	地层	0.003131	0.0251	0.1245
79	环号	0.003054	0.0012	2.5504
80	仓内	0.003016	0.0016	1.8890
