Rank	Word	TF-IDF	TF	IDF
1	桥隧	0.070241	0.0152	4.6299
2	网络	0.037622	0.0374	1.0055
3	文本	0.019985	0.0076	2.6150
4	双层	0.018196	0.0070	2.6150
5	提及	0.016883	0.0056	3.0204
6	节点	0.016346	0.0129	1.2626
7	标准	0.012389	0.0351	0.3532
8	QB	0.012147	0.0026	4.6299
9	GB	0.011393	0.0064	1.7677
10	企业	0.010143	0.0068	1.4944
11	MBEC	0.008978	0.0019	4.6299
12	覆盖度	0.008433	0.0020	4.2244
13	TB	0.008201	0.0026	3.1258
14	关注度	0.008083	0.0021	3.9367
15	桥梁	0.007530	0.0060	1.2455
16	引用	0.006492	0.0029	2.2320
17	加权	0.005679	0.0034	1.6594
18	事故	0.005382	0.0149	0.3602
19	违章	0.004655	0.0018	2.5504
20	JTG	0.004491	0.0011	3.9367
21	而言	0.004474	0.0027	1.6341
22	路径	0.004375	0.0024	1.8265
23	条数	0.004337	0.0010	4.2244
24	JTJ	0.004225	0.0009	4.6299
25	ij	0.004223	0.0032	1.3340
26	覆盖	0.004167	0.0024	1.7395
27	聚类	0.004115	0.0018	2.3273
28	关键性	0.004047	0.0014	2.8381
29	淡薄	0.004028	0.0011	3.5313
30	检索	0.004024	0.0017	2.4326
31	技术规范	0.003700	0.0018	2.0272
32	等级	0.003660	0.0063	0.5781
33	表示	0.003515	0.0040	0.8804
34	意味着	0.003480	0.0017	2.1041
35	JGJ	0.003445	0.0011	3.0204
36	技术规程	0.003430	0.0013	2.6150
37	bridge	0.003399	0.0012	2.8381
38	第二节	0.003373	0.0008	4.2244
39	未作	0.003373	0.0008	4.2244
40	network	0.003346	0.0017	1.9557
41	频数	0.003330	0.0010	3.2436
42	不严	0.003273	0.0011	3.0204
43	搜集	0.003186	0.0014	2.3273
44	CTG	0.003169	0.0007	4.6299
45	标准化	0.003160	0.0021	1.5388
46	第一节	0.003143	0.0008	3.9367
47	建筑施工	0.003125	0.0018	1.7677
48	特征分析	0.003101	0.0010	3.0204
49	讲话	0.002891	0.0007	4.2244
50	平均	0.002836	0.0031	0.9042
51	the	0.002772	0.0050	0.5523
52	网络理论	0.002674	0.0010	2.7581
53	介数	0.002650	0.0006	4.2244
54	TZ	0.002641	0.0006	4.6299
55	公路桥	0.002618	0.0007	3.5313
56	这一	0.002582	0.0019	1.3718
57	铁路	0.002574	0.0035	0.7279
58	and	0.002523	0.0050	0.5027
59	违反	0.002496	0.0008	3.1258
60	管理者	0.002480	0.0014	1.7395
61	次数	0.002441	0.0015	1.5853
62	规程	0.002419	0.0011	2.2320
63	JT	0.002377	0.0005	4.6299
64	监管	0.002263	0.0012	1.8890
65	安全检查	0.002246	0.0010	2.1875
66	第三节	0.002245	0.0006	3.9367
67	入度	0.002240	0.0007	3.0204
68	密度	0.002227	0.0014	1.5618
69	桥涵	0.002215	0.0006	3.5313
70	防护	0.002183	0.0018	1.1959
71	技术标准	0.002143	0.0008	2.6840
72	of	0.002131	0.0041	0.5190
73	构建	0.002129	0.0031	0.6786
74	et	0.002084	0.0019	1.0745
75	坠落	0.002081	0.0010	2.0272
76	al	0.002056	0.0019	1.0603
77	设计规范	0.002047	0.0011	1.8890
78	验收	0.002006	0.0015	1.3527
79	高处	0.001966	0.0010	2.0272
80	安全意识	0.001959	0.0014	1.4312
