Rank	Word	TF-IDF	TF	IDF
1	托换	0.021370	0.0068	3.1258
2	桩基	0.021040	0.0137	1.5388
3	评价	0.014745	0.0280	0.5272
4	模糊	0.010798	0.0124	0.8687
5	着眼	0.010502	0.0025	4.2244
6	单层	0.009751	0.0037	2.6150
7	权重	0.008772	0.0093	0.9410
8	基群	0.008632	0.0019	4.6299
9	元素	0.008407	0.0062	1.3527
10	立交桥	0.008126	0.0031	2.6150
11	不及格	0.007876	0.0019	4.2244
12	事件	0.007763	0.0087	0.8922
13	max	0.007462	0.0056	1.3340
14	抉择	0.007340	0.0019	3.9367
15	矩阵	0.007209	0.0081	0.8922
16	Quality	0.006672	0.0025	2.6840
17	一致性	0.006193	0.0050	1.2455
18	成都	0.006052	0.0044	1.3912
19	后者	0.006048	0.0025	2.4326
20	路军	0.005755	0.0012	4.6299
21	何志军	0.005755	0.0012	4.6299
22	福厦	0.005755	0.0012	4.6299
23	截桩	0.005755	0.0012	4.6299
24	前者	0.005664	0.0025	2.2785
25	排序	0.005345	0.0044	1.2287
26	娇子	0.005251	0.0012	4.2244
27	overpass	0.005251	0.0012	4.2244
28	陈子	0.005251	0.0012	4.2244
29	新桩	0.005251	0.0012	4.2244
30	主次	0.005251	0.0012	4.2244
31	ui	0.005247	0.0016	3.3771
32	Building	0.005133	0.0025	2.0649
33	表示	0.004924	0.0056	0.8804
34	几何平均	0.004893	0.0012	3.9367
35	分析法	0.004780	0.0062	0.7691
36	Development	0.004778	0.0025	1.9218
37	pile	0.004755	0.0019	2.5504
38	论域	0.004755	0.0019	2.5504
39	准则	0.004737	0.0044	1.0889
40	层次	0.004617	0.0050	0.9286
41	沙沙	0.004616	0.0012	3.7136
42	有害物质	0.004616	0.0012	3.7136
43	两个	0.004556	0.0050	0.9163
44	张立茂	0.004339	0.0019	2.3273
45	RI	0.004248	0.0019	2.2785
46	net	0.004198	0.0012	3.3771
47	kns	0.004032	0.0012	3.2436
48	等级	0.003952	0.0068	0.5781
49	评语	0.003923	0.0019	2.1041
50	判断	0.003893	0.0068	0.5694
51	立交	0.003885	0.0012	3.1258
52	html	0.003885	0.0012	3.1258
53	模糊数学	0.003583	0.0019	1.9218
54	分值	0.003583	0.0019	1.9218
55	http	0.003528	0.0012	2.8381
56	将表	0.003528	0.0012	2.8381
57	Safety	0.003459	0.0025	1.3912
58	集合	0.003410	0.0025	1.3718
59	ij	0.003316	0.0025	1.3340
60	Mi	0.003292	0.0009	3.5313
61	process	0.003252	0.0031	1.0463
62	聚焦	0.003250	0.0012	2.6150
63	吴贤国	0.003192	0.0019	1.7121
64	分析方法	0.003182	0.0025	1.2800
65	子集	0.003170	0.0012	2.5504
66	rij	0.003170	0.0012	2.5504
67	相比	0.003125	0.0031	1.0055
68	桥梁	0.003096	0.0025	1.2455
69	周围环境	0.003094	0.0019	1.6594
70	因素	0.003058	0.0149	0.2050
71	随后	0.003047	0.0019	1.6341
72	JOL	0.003024	0.0012	2.4326
73	深约	0.002957	0.0012	2.3786
74	构造	0.002924	0.0031	0.9410
75	APPLICATION	0.002877	0.0006	4.6299
76	OVERPASS	0.002877	0.0006	4.6299
77	PILE	0.002877	0.0006	4.6299
78	GROUP	0.002877	0.0006	4.6299
79	Sha	0.002877	0.0006	4.6299
80	sha	0.002877	0.0006	4.6299
