Rank	Word	TF-IDF	TF	IDF
1	确知	0.015093	0.0043	3.5313
2	测度	0.012587	0.0051	2.4898
3	青岛	0.010310	0.0065	1.5853
4	环节	0.009815	0.0083	1.1799
5	附表	0.007901	0.0024	3.2436
6	SHEL	0.007056	0.0018	3.9367
7	九水	0.005958	0.0013	4.6299
8	权重	0.005276	0.0056	0.9410
9	评价	0.004579	0.0087	0.5272
10	站静	0.004468	0.0010	4.6299
11	港路	0.004468	0.0010	4.6299
12	硕士学位	0.004367	0.0026	1.7121
13	理工大学	0.004224	0.0028	1.4944
14	指标	0.004027	0.0084	0.4788
15	重要性	0.003753	0.0035	1.0745
16	论文	0.003709	0.0028	1.3340
17	赋权	0.003619	0.0021	1.7121
18	粗糙集	0.003485	0.0013	2.6150
19	东路	0.003456	0.0015	2.2785
20	赋值	0.002966	0.0015	1.9557
21	置信度	0.002921	0.0008	3.5313
22	指标体系	0.002903	0.0028	1.0189
23	九静	0.002766	0.0006	4.6299
24	识别	0.002673	0.0039	0.6883
25	等级	0.002630	0.0045	0.5781
26	决策	0.002597	0.0025	1.0463
27	单值	0.002560	0.0007	3.7136
28	矩阵	0.002419	0.0027	0.8922
29	模型	0.002412	0.0045	0.5355
30	风险管理	0.002326	0.0044	0.5272
31	理论	0.002243	0.0059	0.3814
32	ijk	0.002219	0.0006	3.7136
33	主观	0.002177	0.0017	1.3157
34	号线	0.002097	0.0045	0.4632
35	事故	0.002086	0.0058	0.3602
36	小节	0.002011	0.0006	3.1258
37	体系	0.001970	0.0030	0.6596
38	ij	0.001962	0.0015	1.3340
39	属性	0.001888	0.0011	1.7121
40	问卷	0.001878	0.0010	1.8573
41	合成	0.001837	0.0009	2.1041
42	释义	0.001747	0.0004	4.2244
43	内容	0.001740	0.0020	0.8804
44	组合	0.001733	0.0017	1.0189
45	实测值	0.001716	0.0007	2.4898
46	界定	0.001693	0.0008	2.2320
47	死亡	0.001678	0.0009	1.9218
48	后者	0.001677	0.0007	2.4326
49	前者	0.001675	0.0007	2.2785
50	估计	0.001622	0.0009	1.8573
51	损失	0.001617	0.0023	0.7178
52	AHP	0.001579	0.0011	1.4312
53	客观	0.001560	0.0013	1.2121
54	人件	0.001553	0.0004	4.2244
55	准则	0.001551	0.0014	1.0889
56	研究者	0.001530	0.0006	2.3786
57	the	0.001498	0.0027	0.5523
58	函数	0.001471	0.0011	1.2800
59	乘法	0.001435	0.0005	2.8381
60	of	0.001431	0.0028	0.5190
61	附录	0.001413	0.0007	1.9218
62	Pos	0.001383	0.0003	4.6299
63	投诉	0.001359	0.0003	4.2244
64	ik	0.001357	0.0005	2.6840
65	依据	0.001316	0.0021	0.6225
66	安排	0.001306	0.0010	1.3527
67	地铁	0.001292	0.0214	0.0603
68	数据	0.001281	0.0037	0.3463
69	维度	0.001257	0.0006	2.1041
70	除此以外	0.001242	0.0004	3.3771
71	原则	0.001221	0.0017	0.7178
72	构建	0.001216	0.0018	0.6786
73	控制策略	0.001202	0.0005	2.6150
74	and	0.001201	0.0024	0.5027
75	因素	0.001197	0.0058	0.2050
76	鱼骨	0.001195	0.0003	3.7136
77	下属	0.001195	0.0003	3.7136
78	硬件	0.001193	0.0004	3.2436
79	实证	0.001183	0.0006	2.1450
80	流程	0.001183	0.0015	0.7797
