Rank	Word	TF-IDF	TF	IDF
1	指数	0.013021	0.0091	1.4312
2	破碎	0.012282	0.0095	1.2977
3	肯特	0.011834	0.0038	3.1258
4	潮汐	0.008163	0.0022	3.7136
5	石油大学	0.007630	0.0023	3.3771
6	海底隧道	0.007350	0.0041	1.7966
7	华东	0.005918	0.0023	2.5504
8	BP	0.005043	0.0023	2.2320
9	突涌水	0.004951	0.0015	3.2436
10	模型	0.004872	0.0091	0.5355
11	转速	0.004834	0.0042	1.1641
12	海水	0.004823	0.0016	2.9251
13	应力	0.004666	0.0045	1.0326
14	扭矩	0.004395	0.0045	0.9792
15	刀盘	0.004190	0.0116	0.3602
16	神经网络	0.004036	0.0023	1.7395
17	经济合同	0.003958	0.0009	4.6299
18	模拟	0.003924	0.0045	0.8804
19	硕士学位	0.003868	0.0023	1.7121
20	SPSS	0.003855	0.0010	3.7136
21	主应力	0.003666	0.0010	3.5313
22	围岩	0.003572	0.0038	0.9286
23	推力	0.003564	0.0048	0.7483
24	the	0.003474	0.0063	0.5523
25	进口	0.003436	0.0011	3.1258
26	论文	0.003258	0.0024	1.3340
27	孔隙	0.003249	0.0025	1.2977
28	库伦	0.003135	0.0010	3.0204
29	断层	0.003123	0.0017	1.8265
30	水位	0.003049	0.0031	0.9792
31	卡死	0.003041	0.0012	2.4898
32	of	0.003011	0.0058	0.5190
33	泥水	0.002944	0.0037	0.7904
34	刀具	0.002942	0.0043	0.6786
35	矢量图	0.002885	0.0007	3.9367
36	软件	0.002870	0.0029	0.9792
37	海底	0.002805	0.0013	2.1875
38	凝灰岩	0.002803	0.0008	3.5313
39	摩尔	0.002786	0.0010	2.6840
40	map	0.002773	0.0010	2.8381
41	MATLAB	0.002737	0.0011	2.4898
42	塑性	0.002608	0.0014	1.8573
43	海域	0.002526	0.0009	2.7581
44	岩性	0.002522	0.0012	2.0649
45	head	0.002458	0.0009	2.6840
46	云图	0.002443	0.0014	1.7395
47	青岛	0.002420	0.0015	1.5853
48	cutter	0.002416	0.0010	2.3273
49	评分	0.002407	0.0016	1.5163
50	改进	0.002406	0.0026	0.9163
51	and	0.002394	0.0048	0.5027
52	预测	0.002356	0.0032	0.7279
53	决定系数	0.002268	0.0006	3.7136
54	评价	0.002253	0.0043	0.5272
55	相关性	0.002226	0.0014	1.5853
56	渗流	0.002096	0.0010	2.1450
57	预报	0.002084	0.0012	1.7966
58	顺序	0.002076	0.0018	1.1334
59	water	0.002064	0.0013	1.6094
60	相对误差	0.002041	0.0005	3.7136
61	褶皱	0.002041	0.0005	3.7136
62	掘进	0.002025	0.0234	0.0866
63	磨损	0.002019	0.0026	0.7691
64	中等	0.001981	0.0015	1.2977
65	泥浆	0.001968	0.0018	1.0745
66	皮尔逊	0.001923	0.0005	3.9367
67	流固	0.001909	0.0006	3.1258
68	变量	0.001907	0.0012	1.5618
69	本章	0.001812	0.0012	1.5618
70	拱底	0.001803	0.0007	2.6840
71	看出	0.001776	0.0015	1.2121
72	变化	0.001759	0.0049	0.3602
73	水深	0.001733	0.0006	2.8381
74	突水	0.001713	0.0007	2.5504
75	回归	0.001705	0.0007	2.3273
76	本构	0.001705	0.0007	2.3273
77	cloud	0.001703	0.0008	2.1450
78	带刀盘	0.001696	0.0004	4.6299
79	超静	0.001696	0.0004	4.6299
80	胶州湾	0.001683	0.0004	3.9367
