Rank	Word	TF-IDF	TF	IDF
1	GRU	0.018909	0.0048	3.9367
2	多源	0.014356	0.0048	3.0204
3	气象	0.011710	0.0045	2.6150
4	西安电子科技大学	0.009847	0.0027	3.7136
5	FP	0.009845	0.0021	4.6299
6	算法	0.009077	0.0068	1.3340
7	孤立	0.007977	0.0020	3.9367
8	AdaBoost	0.007926	0.0019	4.2244
9	数据	0.007718	0.0223	0.3463
10	森林	0.007603	0.0023	3.3771
11	样本	0.007506	0.0042	1.7966
12	地表	0.006653	0.0168	0.3958
13	模型	0.006497	0.0121	0.5355
14	融合	0.005871	0.0030	1.9557
15	训练	0.005415	0.0023	2.3786
16	为式	0.004924	0.0013	3.9367
17	异常	0.004892	0.0046	1.0745
18	Growth	0.004749	0.0010	4.6299
19	硕士学位	0.004583	0.0027	1.7121
20	评价	0.004537	0.0086	0.5272
21	论文	0.004439	0.0033	1.3340
22	分类器	0.004152	0.0012	3.5313
23	输出	0.004087	0.0021	1.9218
24	安全性	0.003919	0.0062	0.6317
25	特征	0.003877	0.0056	0.6980
26	Mpa	0.003710	0.0011	3.5313
27	iTree	0.003706	0.0008	4.6299
28	缺失	0.003648	0.0016	2.2785
29	结点	0.003450	0.0013	2.7581
30	预测	0.003442	0.0047	0.7279
31	气象条件	0.003357	0.0010	3.5313
32	线图	0.003243	0.0007	4.6299
33	沉降	0.003191	0.0195	0.1640
34	预警	0.003154	0.0034	0.9410
35	LSTM	0.003151	0.0008	3.9367
36	规则	0.003148	0.0019	1.6341
37	误差	0.003106	0.0022	1.4110
38	置信度	0.003004	0.0009	3.5313
39	网络	0.002993	0.0030	1.0055
40	第三章	0.002981	0.0016	1.9218
41	输入	0.002978	0.0021	1.4518
42	关联	0.002970	0.0022	1.3340
43	属性	0.002955	0.0017	1.7121
44	提取	0.002919	0.0017	1.7677
45	随机	0.002759	0.0023	1.2121
46	个体	0.002741	0.0011	2.4898
47	权重	0.002707	0.0029	0.9410
48	遗传算法	0.002678	0.0008	3.2436
49	项集	0.002664	0.0006	4.6299
50	PCA	0.002645	0.0009	3.0204
51	预处理	0.002618	0.0011	2.3786
52	神经网络	0.002611	0.0015	1.7395
53	RF	0.002597	0.0008	3.2436
54	迭代	0.002556	0.0011	2.4326
55	四分	0.002548	0.0006	4.6299
56	学习	0.002542	0.0018	1.4518
57	构建	0.002530	0.0037	0.6786
58	事故	0.002478	0.0069	0.3602
59	门控	0.002462	0.0006	3.9367
60	种群	0.002364	0.0006	3.9367
61	降水量	0.002346	0.0008	3.1258
62	降水强度	0.002316	0.0005	4.6299
63	分析方法	0.002305	0.0018	1.2800
64	RMSE	0.002265	0.0006	3.9367
65	分类	0.002228	0.0021	1.0603
66	序列	0.002224	0.0009	2.6150
67	函数	0.002209	0.0017	1.2800
68	RNN	0.002167	0.0006	3.9367
69	框架	0.002156	0.0014	1.5388
70	降水	0.002148	0.0017	1.2626
71	袋外	0.002114	0.0005	4.2244
72	tanh	0.002114	0.0005	4.2244
73	基于	0.002090	0.0058	0.3602
74	建模	0.002062	0.0013	1.5853
75	更新	0.002062	0.0013	1.5853
76	激活	0.002014	0.0008	2.6840
77	事务	0.002008	0.0005	4.2244
78	重置	0.001970	0.0005	3.9367
79	环处	0.001947	0.0006	3.2436
80	预测值	0.001917	0.0007	2.8381
