Rank	Word	TF-IDF	TF	IDF
1	用电	0.015332	0.0063	2.4326
2	防溜车	0.011833	0.0028	4.2244
3	应急	0.011466	0.0147	0.7797
4	要点	0.011141	0.0063	1.7677
5	建筑机械	0.010945	0.0035	3.1258
6	沉隆	0.009727	0.0021	4.6299
7	扑救	0.008270	0.0021	3.9367
8	小组	0.007937	0.0042	1.8890
9	救援	0.006971	0.0035	1.9908
10	韩锐锋	0.006484	0.0014	4.6299
11	监察部	0.006484	0.0014	4.6299
12	内溜车	0.006484	0.0014	4.6299
13	监视器	0.006484	0.0014	4.6299
14	立即	0.006279	0.0042	1.4944
15	火灾	0.005995	0.0035	1.7121
16	吊装	0.005929	0.0042	1.4110
17	SURVEYING	0.005917	0.0014	4.2244
18	触电	0.005784	0.0028	2.0649
19	专题	0.005514	0.0014	3.9367
20	电工	0.005514	0.0014	3.9367
21	控制面板	0.005514	0.0014	3.9367
22	隐患	0.005452	0.0042	1.2977
23	故障	0.005259	0.0063	0.8344
24	流砂	0.005231	0.0021	2.4898
25	整改措施	0.005201	0.0014	3.7136
26	通知	0.005111	0.0021	2.4326
27	开裂	0.005025	0.0042	1.1959
28	急救	0.004946	0.0014	3.5313
29	配电箱	0.004946	0.0014	3.5313
30	落实	0.004940	0.0035	1.4110
31	接地	0.004730	0.0014	3.3771
32	灭火	0.004730	0.0014	3.3771
33	运输机	0.004730	0.0014	3.3771
34	检查	0.004619	0.0070	0.6596
35	软土	0.004544	0.0035	1.2977
36	电线	0.004543	0.0014	3.2436
37	管线	0.004430	0.0084	0.5272
38	十九	0.004378	0.0014	3.1258
39	起讫	0.004230	0.0014	3.0204
40	冒浆	0.004230	0.0014	3.0204
41	洞门	0.003968	0.0035	1.1334
42	处置	0.003897	0.0028	1.3912
43	临近	0.003842	0.0028	1.3718
44	管控	0.003668	0.0049	0.7483
45	排查	0.003654	0.0021	1.7395
46	生产	0.003568	0.0035	1.0189
47	启动	0.003486	0.0021	1.6594
48	创建	0.003331	0.0014	2.3786
49	高质量	0.003331	0.0014	2.3786
50	安全隐患	0.003305	0.0028	1.1799
51	起吊	0.003259	0.0014	2.3273
52	巡查	0.003259	0.0014	2.3273
53	防等	0.003242	0.0007	4.6299
54	奋力	0.003242	0.0007	4.6299
55	水砾	0.003242	0.0007	4.6299
56	着力	0.003242	0.0007	4.6299
57	威慑力	0.003242	0.0007	4.6299
58	从严	0.003242	0.0007	4.6299
59	查处	0.003242	0.0007	4.6299
60	鄞州区	0.003242	0.0007	4.6299
61	福明	0.003242	0.0007	4.6299
62	街道	0.003242	0.0007	4.6299
63	海晏	0.003242	0.0007	4.6299
64	操作证	0.003242	0.0007	4.6299
65	接拉	0.003242	0.0007	4.6299
66	受施	0.003242	0.0007	4.6299
67	前根	0.003242	0.0007	4.6299
68	铰链	0.003242	0.0007	4.6299
69	铁箱	0.003242	0.0007	4.6299
70	军路	0.003242	0.0007	4.6299
71	秦沈	0.003242	0.0007	4.6299
72	财务部	0.003242	0.0007	4.6299
73	线时	0.003242	0.0007	4.6299
74	水花	0.003242	0.0007	4.6299
75	站立	0.003242	0.0007	4.6299
76	并配	0.003242	0.0007	4.6299
77	状时	0.003242	0.0007	4.6299
78	孔先压	0.003242	0.0007	4.6299
79	对门式	0.003242	0.0007	4.6299
80	交管	0.003242	0.0007	4.6299
