Rank	Word	TF-IDF	TF	IDF
1	可视化	0.024451	0.0141	1.7395
2	摄像头	0.019885	0.0054	3.7136
3	土仓	0.013283	0.0134	0.9923
4	断裂带	0.012553	0.0040	3.1258
5	气压	0.012212	0.0060	2.0272
6	马润	0.009297	0.0020	4.6299
7	锥板	0.009297	0.0020	4.6299
8	the	0.009242	0.0167	0.5523
9	NOV	0.008483	0.0020	4.2244
10	广州地区	0.007905	0.0020	3.9367
11	总成	0.007905	0.0020	3.9367
12	红层	0.007457	0.0020	3.7136
13	上位	0.007091	0.0020	3.5313
14	视频	0.006513	0.0027	2.4326
15	辅助	0.006473	0.0060	1.0745
16	土仓内	0.006432	0.0033	1.9218
17	滞后性	0.006277	0.0020	3.1258
18	镜面	0.006198	0.0013	4.6299
19	bunker	0.006198	0.0013	4.6299
20	光灯	0.006198	0.0013	4.6299
21	地材	0.006198	0.0013	4.6299
22	冲洗	0.005874	0.0020	2.9251
23	video	0.005655	0.0013	4.2244
24	渣土	0.005603	0.0054	1.0463
25	隔板	0.005389	0.0020	2.6840
26	操作系统	0.005270	0.0013	3.9367
27	Xiamen	0.005270	0.0013	3.9367
28	inside	0.005270	0.0013	3.9367
29	时效性	0.005270	0.0013	3.9367
30	Fig	0.005236	0.0027	1.9557
31	实时	0.005219	0.0067	0.7797
32	系统	0.005170	0.0181	0.2861
33	效益	0.004973	0.0027	1.8573
34	界面	0.004890	0.0027	1.8265
35	Effect	0.004776	0.0020	2.3786
36	流入	0.004575	0.0020	2.2785
37	soil	0.004513	0.0027	1.6854
38	成型	0.004513	0.0027	1.6854
39	三大类	0.004342	0.0013	3.2436
40	水气	0.004241	0.0010	4.2244
41	改良	0.004168	0.0033	1.2455
42	掌握	0.004147	0.0040	1.0326
43	灰岩	0.004146	0.0020	2.0649
44	花岗岩	0.003998	0.0020	1.9908
45	大大提高	0.003916	0.0013	2.9251
46	监控	0.003869	0.0067	0.5781
47	Vol	0.003859	0.0020	1.9218
48	System	0.003859	0.0020	1.9218
49	of	0.003821	0.0074	0.5190
50	improvement	0.003799	0.0013	2.8381
51	及刀盘	0.003799	0.0013	2.8381
52	模式	0.003729	0.0040	0.9286
53	浪费	0.003692	0.0013	2.7581
54	泥质	0.003668	0.0020	1.8265
55	real	0.003593	0.0013	2.6840
56	西路	0.003593	0.0013	2.6840
57	长约	0.003593	0.0013	2.6840
58	掌子面	0.003583	0.0040	0.8922
59	广东	0.003438	0.0020	1.7121
60	problem	0.003414	0.0013	2.5504
61	效率	0.003363	0.0047	0.7178
62	Guangzhou	0.003333	0.0013	2.4898
63	节省	0.003333	0.0013	2.4898
64	效果	0.003296	0.0080	0.4104
65	土木	0.003281	0.0020	1.6341
66	砂岩	0.003136	0.0020	1.5618
67	effect	0.003115	0.0013	2.3273
68	李永森	0.003099	0.0007	4.6299
69	residual	0.003099	0.0007	4.6299
70	silo	0.003099	0.0007	4.6299
71	judge	0.003099	0.0007	4.6299
72	starts	0.003099	0.0007	4.6299
73	premise	0.003099	0.0007	4.6299
74	auxiliary	0.003099	0.0007	4.6299
75	pneumatic	0.003099	0.0007	4.6299
76	camera	0.003099	0.0007	4.6299
77	installed	0.003099	0.0007	4.6299
78	cone	0.003099	0.0007	4.6299
79	plate	0.003099	0.0007	4.6299
80	diaphragm	0.003099	0.0007	4.6299
