Rank	Word	TF-IDF	TF	IDF
1	数据分析	0.014500	0.0101	1.4312
2	防控	0.014113	0.0107	1.3157
3	采集	0.012755	0.0080	1.5853
4	远程	0.010639	0.0042	2.5504
5	阈值	0.009845	0.0048	2.0649
6	TBM	0.009517	0.0066	1.4518
7	数据	0.009286	0.0268	0.3463
8	提醒	0.008457	0.0030	2.8381
9	Spark	0.008277	0.0018	4.6299
10	服务器	0.008050	0.0024	3.3771
11	传输	0.007792	0.0030	2.6150
12	功能设计	0.007038	0.0018	3.9367
13	采集器	0.007038	0.0018	3.9367
14	集群	0.007038	0.0018	3.9367
15	Equipment	0.006973	0.0024	2.9251
16	后经	0.006639	0.0018	3.7136
17	故障	0.006464	0.0077	0.8344
18	预警	0.005608	0.0060	0.9410
19	姿态	0.005561	0.0077	0.7178
20	Kafka	0.005518	0.0012	4.6299
21	Redis	0.005518	0.0012	4.6299
22	HBase	0.005518	0.0012	4.6299
23	发出报警	0.005518	0.0012	4.6299
24	架构	0.005431	0.0024	2.2785
25	装备	0.005267	0.0030	1.7677
26	PLC	0.005230	0.0018	2.9251
27	责任人员	0.005035	0.0012	4.2244
28	偏差	0.004984	0.0057	0.8804
29	环境恶劣	0.004692	0.0012	3.9367
30	实时	0.004647	0.0060	0.7797
31	存储	0.004563	0.0021	2.1875
32	结构化	0.004500	0.0015	3.0204
33	自动	0.004434	0.0033	1.3527
34	局域网	0.004426	0.0012	3.7136
35	数据源	0.004209	0.0012	3.5313
36	Project	0.004147	0.0024	1.7395
37	MECHANIZATION	0.004025	0.0012	3.3771
38	凸起	0.003866	0.0012	3.2436
39	误操作	0.003866	0.0012	3.2436
40	推送	0.003866	0.0012	3.2436
41	项目	0.003840	0.0155	0.2478
42	补救	0.003726	0.0012	3.1258
43	超限	0.003624	0.0018	2.0272
44	数据传输	0.003600	0.0012	3.0204
45	欢欢	0.003486	0.0012	2.9251
46	监控	0.003445	0.0060	0.5781
47	立体	0.003383	0.0012	2.8381
48	结构复杂	0.003287	0.0012	2.7581
49	减压	0.003199	0.0012	2.6840
50	发出	0.003199	0.0012	2.6840
51	复测	0.003117	0.0012	2.6150
52	文明	0.003040	0.0012	2.5504
53	互联网	0.003040	0.0012	2.5504
54	及时处理	0.002968	0.0012	2.4898
55	人为	0.002967	0.0018	1.6594
56	致使	0.002922	0.0018	1.6341
57	层数	0.002899	0.0009	3.2436
58	平台	0.002775	0.0024	1.1641
59	CONSTRUCTION	0.002774	0.0012	2.3273
60	高会	0.002759	0.0006	4.6299
61	垂刚	0.002759	0.0006	4.6299
62	韩伟锋	0.002759	0.0006	4.6299
63	zhong	0.002759	0.0006	4.6299
64	guo	0.002759	0.0006	4.6299
65	Chui	0.002759	0.0006	4.6299
66	huan	0.002759	0.0006	4.6299
67	向大直	0.002759	0.0006	4.6299
68	快于	0.002759	0.0006	4.6299
69	未事	0.002759	0.0006	4.6299
70	先堪明	0.002759	0.0006	4.6299
71	安山岩	0.002759	0.0006	4.6299
72	因处	0.002759	0.0006	4.6299
73	换刀作	0.002759	0.0006	4.6299
74	烧伤	0.002759	0.0006	4.6299
75	失及	0.002759	0.0006	4.6299
76	环均	0.002759	0.0006	4.6299
77	Hadoop	0.002759	0.0006	4.6299
78	ZooKeeper	0.002759	0.0006	4.6299
79	余元	0.002759	0.0006	4.6299
80	数据服务	0.002759	0.0006	4.6299
