Rank	Word	TF-IDF	TF	IDF
1	TBM	0.021742	0.0150	1.4518
2	双龙	0.019523	0.0046	4.2244
3	主应力	0.010329	0.0029	3.5313
4	法向应力	0.010292	0.0022	4.6299
5	围堰	0.007603	0.0020	3.7136
6	围岩	0.007442	0.0080	0.9286
7	云图	0.006614	0.0038	1.7395
8	湖路	0.006500	0.0014	4.6299
9	肩处	0.006500	0.0014	4.6299
10	位移	0.006267	0.0073	0.8571
11	航站楼	0.005214	0.0014	3.7136
12	重庆	0.005066	0.0031	1.6341
13	工况	0.004964	0.0041	1.2121
14	拱顶	0.004875	0.0039	1.2626
15	内侧	0.004735	0.0022	2.1875
16	应力	0.004138	0.0040	1.0326
17	模拟	0.004120	0.0047	0.8804
18	泥岩	0.003633	0.0020	1.8265
19	硕士论文	0.003476	0.0009	3.7136
20	模型	0.003446	0.0064	0.5355
21	适宜性	0.003305	0.0009	3.5313
22	外侧	0.003256	0.0019	1.7395
23	龙湖区	0.003250	0.0007	4.6299
24	砂质	0.002999	0.0017	1.7677
25	竖向	0.002866	0.0026	1.0889
26	地段	0.002803	0.0026	1.0889
27	数值	0.002652	0.0044	0.6045
28	硕士学位	0.002504	0.0015	1.7121
29	最大值	0.002463	0.0019	1.3157
30	硬岩	0.002354	0.0015	1.6094
31	岩性	0.002295	0.0011	2.0649
32	砂岩	0.002284	0.0015	1.5618
33	土石	0.002272	0.0006	3.5313
34	稳定性	0.002271	0.0044	0.5108
35	刮刀	0.002220	0.0010	2.2320
36	湖泊	0.002194	0.0007	3.1258
37	适应性	0.002179	0.0019	1.1641
38	刀盘	0.002023	0.0056	0.3602
39	底处	0.001977	0.0005	4.2244
40	湖底	0.001955	0.0005	3.7136
41	论文	0.001951	0.0015	1.3340
42	模拟计算	0.001906	0.0008	2.3273
43	线形	0.001884	0.0007	2.6840
44	开口	0.001883	0.0012	1.6094
45	夹砂	0.001842	0.0005	3.9367
46	支护	0.001799	0.0018	0.9923
47	层次	0.001793	0.0019	0.9286
48	带压	0.001790	0.0007	2.5504
49	螺机	0.001778	0.0005	3.3771
50	复合式	0.001747	0.0009	1.9908
51	滚刀	0.001710	0.0009	1.8265
52	达到	0.001691	0.0040	0.4252
53	厚度	0.001661	0.0023	0.7279
54	Shuanglong	0.001625	0.0004	4.6299
55	刀具	0.001588	0.0023	0.6786
56	爆法	0.001570	0.0006	2.6840
57	转速	0.001566	0.0013	1.1641
58	岩石	0.001554	0.0018	0.8571
59	管片	0.001536	0.0080	0.1931
60	顶部	0.001464	0.0018	0.8344
61	两侧	0.001459	0.0013	1.1334
62	这些	0.001453	0.0018	0.8012
63	配置	0.001450	0.0014	1.0326
64	收敛	0.001450	0.0007	2.0649
65	大学	0.001441	0.0027	0.5355
66	净空	0.001413	0.0005	2.6840
67	矩阵	0.001409	0.0016	0.8922
68	湖段	0.001382	0.0004	3.9367
69	岩层	0.001362	0.0012	1.1641
70	本构	0.001361	0.0006	2.3273
71	节理	0.001361	0.0006	2.3273
72	靠近	0.001349	0.0007	1.9218
73	深埋	0.001333	0.0006	2.2785
74	边界条件	0.001311	0.0005	2.4898
75	最小	0.001304	0.0022	0.5868
76	Lake	0.001303	0.0004	3.7136
77	the	0.001292	0.0023	0.5523
78	本章	0.001279	0.0008	1.5618
79	裂隙	0.001260	0.0008	1.5388
80	of	0.001245	0.0024	0.5190
