Rank	Word	TF-IDF	TF	IDF
1	脱壳	0.053113	0.0115	4.6299
2	解体	0.048952	0.0201	2.4326
3	专业学位	0.011393	0.0044	2.6150
4	论文	0.006732	0.0050	1.3340
5	作业	0.005604	0.0110	0.5108
6	吊装	0.004688	0.0033	1.4110
7	硕士	0.004475	0.0045	1.0055
8	拆解	0.004422	0.0018	2.4326
9	评价	0.004330	0.0082	0.5272
10	识别	0.004315	0.0063	0.6883
11	disintegration	0.004063	0.0009	4.6299
12	动火	0.003863	0.0012	3.2436
13	吊具	0.003725	0.0010	3.7136
14	事件	0.003132	0.0035	0.8922
15	洞内	0.002919	0.0021	1.4110
16	专家	0.002842	0.0047	0.6045
17	北京	0.002719	0.0051	0.5355
18	权重	0.002713	0.0029	0.9410
19	机械设备	0.002664	0.0023	1.1486
20	拆除	0.002662	0.0018	1.5163
21	运输	0.002654	0.0026	1.0326
22	因素	0.002590	0.0126	0.2050
23	大学	0.002451	0.0046	0.5355
24	德尔菲	0.002420	0.0011	2.1450
25	准备	0.002178	0.0025	0.8687
26	指标	0.002131	0.0045	0.4788
27	附录	0.002108	0.0011	1.9218
28	of	0.002082	0.0040	0.5190
29	Table	0.002072	0.0011	1.8890
30	the	0.002008	0.0036	0.5523
31	交底	0.001988	0.0013	1.5853
32	机械	0.001986	0.0024	0.8122
33	管理人员	0.001970	0.0017	1.1641
34	人员	0.001960	0.0051	0.3814
35	施工人员	0.001932	0.0022	0.8804
36	层次	0.001921	0.0021	0.9286
37	违章	0.001919	0.0008	2.5504
38	施工现场	0.001902	0.0021	0.8922
39	shelling	0.001887	0.0004	4.6299
40	高空	0.001851	0.0007	2.6840
41	分析法	0.001832	0.0024	0.7691
42	检索	0.001830	0.0008	2.4326
43	调查表	0.001803	0.0007	2.6150
44	管控	0.001783	0.0024	0.7483
45	高处	0.001779	0.0009	2.0272
46	坠落	0.001779	0.0009	2.0272
47	打击	0.001748	0.0008	2.1450
48	并且	0.001746	0.0019	0.9286
49	底块	0.001741	0.0004	4.6299
50	NI	0.001741	0.0004	4.6299
51	machine	0.001717	0.0010	1.7121
52	风险管理	0.001686	0.0032	0.5272
53	接收	0.001639	0.0021	0.7691
54	防范	0.001616	0.0011	1.5163
55	隶属	0.001615	0.0011	1.4312
56	材料	0.001606	0.0028	0.5694
57	年限	0.001594	0.0008	1.9557
58	卵石	0.001584	0.0014	1.1486
59	清单	0.001560	0.0009	1.6594
60	机洞	0.001550	0.0004	3.5313
61	或者	0.001507	0.0019	0.8012
62	组织	0.001506	0.0021	0.7279
63	车辆	0.001503	0.0009	1.7121
64	indicators	0.001500	0.0007	2.2785
65	内容	0.001490	0.0017	0.8804
66	Fig	0.001471	0.0008	1.9557
67	本章	0.001469	0.0009	1.5618
68	安全带	0.001467	0.0005	2.9251
69	流程	0.001466	0.0019	0.7797
70	指示牌	0.001451	0.0003	4.6299
71	采光	0.001451	0.0003	4.6299
72	素细	0.001451	0.0003	4.6299
73	但是	0.001424	0.0014	1.0326
74	吊点	0.001423	0.0004	3.2436
75	调度	0.001423	0.0005	2.8381
76	部件	0.001421	0.0008	1.8890
77	物体	0.001397	0.0008	1.8573
78	单位	0.001392	0.0024	0.5694
79	伤害	0.001391	0.0009	1.5853
80	用电	0.001372	0.0006	2.4326
