Rank	Word	TF-IDF	TF	IDF
1	蒙特卡罗	0.022568	0.0082	2.7581
2	互补	0.020361	0.0060	3.3771
3	韦家	0.017945	0.0039	4.6299
4	邻近	0.017122	0.0159	1.0745
5	模糊	0.014216	0.0164	0.8687
6	线缆	0.013563	0.0034	3.9367
7	筑物	0.012032	0.0112	1.0745
8	矩阵	0.011911	0.0134	0.8922
9	改进	0.010655	0.0116	0.9163
10	黄晓东	0.009096	0.0022	4.2244
11	第期	0.008195	0.0034	2.3786
12	西路	0.008091	0.0030	2.6840
13	双瑞	0.007976	0.0017	4.6299
14	前者	0.007850	0.0034	2.2785
15	事件	0.007685	0.0086	0.8922
16	评估	0.007290	0.0202	0.3602
17	打桩	0.007277	0.0017	4.2244
18	超欠	0.007277	0.0017	4.2244
19	四路	0.007277	0.0017	4.2244
20	判断	0.007112	0.0125	0.5694
21	破坏	0.006926	0.0116	0.5956
22	后果	0.006706	0.0052	1.2977
23	标度	0.006533	0.0039	1.6854
24	等级	0.006473	0.0112	0.5781
25	一致性	0.006437	0.0052	1.2455
26	管道	0.006350	0.0052	1.2287
27	分解	0.006147	0.0047	1.2977
28	层次	0.005998	0.0065	0.9286
29	徐泽水	0.005982	0.0013	4.6299
30	荆翠	0.005982	0.0013	4.6299
31	荆竹	0.005982	0.0013	4.6299
32	建筑物	0.005477	0.0116	0.4710
33	见式	0.005385	0.0017	3.1258
34	权重	0.005268	0.0056	0.9410
35	开裂	0.005150	0.0043	1.1959
36	卡罗	0.005086	0.0013	3.9367
37	各行	0.005086	0.0013	3.9367
38	道路	0.004957	0.0047	1.0463
39	平整	0.004393	0.0017	2.5504
40	转换	0.004194	0.0030	1.3912
41	基底	0.004191	0.0017	2.4326
42	概率	0.004171	0.0047	0.8804
43	模型	0.004151	0.0078	0.5355
44	损失	0.004019	0.0056	0.7178
45	李会良	0.003988	0.0009	4.6299
46	境内外	0.003988	0.0009	4.6299
47	未分离	0.003988	0.0009	4.6299
48	第项	0.003988	0.0009	4.6299
49	渗漏	0.003966	0.0030	1.3157
50	不严	0.003902	0.0013	3.0204
51	排序	0.003704	0.0030	1.2287
52	雨水管	0.003667	0.0013	2.8381
53	石丹峰	0.003639	0.0009	4.2244
54	蒙特	0.003639	0.0009	4.2244
55	正态分布	0.003625	0.0017	2.1041
56	临近	0.003545	0.0026	1.3718
57	向量	0.003545	0.0026	1.3718
58	塌陷	0.003511	0.0034	1.0189
59	张庆	0.003391	0.0009	3.9367
60	张运强	0.003391	0.0009	3.9367
61	黎春林	0.003391	0.0009	3.9367
62	随机数	0.003379	0.0013	2.6150
63	序列	0.003379	0.0013	2.6150
64	排水	0.003218	0.0022	1.4944
65	路面	0.003218	0.0022	1.4944
66	差值	0.003217	0.0013	2.4898
67	污水	0.003199	0.0017	1.8573
68	李兵	0.003199	0.0009	3.7136
69	合适	0.003157	0.0034	0.9163
70	评判	0.003082	0.0022	1.4312
71	计算	0.003042	0.0086	0.3532
72	站场	0.003042	0.0009	3.5313
73	卫星	0.003042	0.0009	3.5313
74	模拟	0.003033	0.0034	0.8804
75	相比	0.003031	0.0030	1.0055
76	不当	0.002953	0.0034	0.8571
77	代入	0.002944	0.0013	2.2785
78	西安市	0.002909	0.0009	3.3771
79	参数设置	0.002859	0.0017	1.6594
80	吊耳	0.002794	0.0009	3.2436
