point_name	point_unit	point_code
环片计数器		RING
设备侧滚	mm	SB_CG
设备倾角	%	SB_QJ
液压油箱温度	℃	YYYX_TMP
刀盘1#减速机温度正常		DP_JSJ_TMP1
刀盘2#减速机温度正常		DP_JSJ_TMP2
刀盘3#减速机温度正常		DP_JSJ_TMP3
刀盘4#减速机温度正常		DP_JSJ_TMP4
刀盘5#减速机温度正常		DP_JSJ_TMP5
刀盘6#减速机温度正常		DP_JSJ_TMP6
刀盘7#减速机温度正常		DP_JSJ_TMP7
刀盘8#减速机温度正常		DP_JSJ_TMP8
刀盘9#减速机温度正常		DP_JSJ_TMP9
刀盘10#减速机温度正常		DP_JSJ_TMP10
刀盘11#减速机温度正常		DP_JSJ_TMP11
刀盘12#减速机温度正常		DP_JSJ_TMP12
刀盘13#减速机温度正常		DP_JSJ_TMP13
刀盘14#减速机温度正常		DP_JSJ_TMP14
刀盘15#减速机温度正常		DP_JSJ_TMP15
刀盘16#减速机温度正常		DP_JSJ_TMP16
主驱动冷却回水温度	℃	ZQD_RW_TMP
主驱动冷却水流量	L/min	ZQD_LQS_FLOW
土仓加水流量	L/min	TCJS_FLOW
1#齿轮油箱温度	℃	CLY_TMP1
1#小齿轮机油流量	L/min	XCL_JY_FLOW1
1#主驱动HBW脉冲计数器		ZQD_HBW_CNT1
2#主驱动HBW脉冲计数器		ZQD_HBW_CNT2
3#主驱动HBW脉冲计数器		ZQD_HBW_CNT3
4#主驱动HBW脉冲计数器		ZQD_HBW_CNT4
油脂充油计数器(推进循环)		YZCY_CNT
主轴承内密封油脂流量	ml/min	ZZC_NMF_YZ_FLOW
主轴承第二道外密封流量1	ml/min	ZZC2_WMF_FLOW1
主轴承第二道外密封流量2	ml/min	ZZC2_WMF_FLOW2
主轴承第二道外密封流量3	ml/min	ZZC2_WMF_FLOW3
主轴承第三道外密封流量1	ml/min	ZZC3_WMF_FLOW1
喂片机油脂流量	ml/min	WPJ_YZ_FLOW
主轴承第二道外密封脉冲数1		ZZC2_WMF_CNT1
主轴承第二道外密封脉冲数2		ZZC2_WMF_CNT2
主轴承第二道外密封脉冲数3		ZZC2_WMF_CNT3
主轴承第二道外密封脉冲数4		ZZC2_WMF_CNT4
1#主轴承内密封油脂正常		ZZC_NMF_YZ_ON1
2#主轴承内密封油脂正常		ZZC_NMF_YZ_ON2
1#HBW油脂正常		HBW_ON1
2#HBW油脂正常		HBW_ON2
3#HBW油脂正常		HBW_ON3
4#HBW油脂正常		HBW_ON4
机油循环正常		JYXH_ON
回转接头油脂1#正常		HZJT_YZ_ON1
1#拼装机轴承润滑正常		PZJ_RH_ON1
2#拼装机轴承润滑正常		PZJ_RH_ON2
拼装机滚轮润滑正常		PZJ_GLRH_ON
拼装机提升油缸润滑正常		PZJ_TSYG_RHOK
铰接密封油脂正常		JJ_MFYZ_ON
刀盘工作状态		DP_GZZT
刀盘速度	rpm	DP_SD
刀盘角度	°	DP_JD
1#超挖刀行程	mm	CWD_XC1
2#超挖刀行程	mm	CWD_XC2
1#仿形刀角度		FXD_JD1
2#仿形刀角度		FXD_JD2
刀盘转矩	kNm	DP_ZJ
主驱动电机1电流	A	ZQD_DL1
主驱动电机1扭矩	Nm	ZQD_TQ1
主驱动电机1速度	rpm	ZQD_SD1
主驱动电机1温度	℃	ZQD_TMP1
主驱动电机2电流	A	ZQD_DL2
主驱动电机2扭矩	Nm	ZQD_TQ2
主驱动电机2速度	rpm	ZQD_SD2
主驱动电机2温度	℃	ZQD_TMP2
主驱动电机3电流	A	ZQD_DL3
主驱动电机3扭矩	Nm	ZQD_TQ3
主驱动电机3速度	rpm	ZQD_SD3
主驱动电机3温度	℃	ZQD_TMP3
主驱动电机4电流	A	ZQD_DL4
主驱动电机4扭矩	Nm	ZQD_TQ4
主驱动电机4速度	rpm	ZQD_SD4
主驱动电机4温度	℃	ZQD_TMP4
主驱动电机5电流	A	ZQD_DL5
主驱动电机5扭矩	Nm	ZQD_TQ5
主驱动电机5速度	rpm	ZQD_SD5
主驱动电机5温度	℃	ZQD_TMP5
主驱动电机6电流	A	ZQD_DL6
主驱动电机6扭矩	Nm	ZQD_TQ6
主驱动电机6速度	rpm	ZQD_SD6
主驱动电机6温度	℃	ZQD_TMP6
主驱动电机7电流	A	ZQD_DL7
主驱动电机7扭矩	Nm	ZQD_TQ7
主驱动电机7速度	rpm	ZQD_SD7
主驱动电机7温度	℃	ZQD_TMP7
主驱动电机8电流	A	ZQD_DL8
主驱动电机8扭矩	Nm	ZQD_TQ8
主驱动电机8速度	rpm	ZQD_SD8
主驱动电机8温度	℃	ZQD_TMP8
主驱动电机9电流	A	ZQD_DL9
主驱动电机9扭矩	Nm	ZQD_TQ9
主驱动电机9速度	rpm	ZQD_SD9
主驱动电机9温度	℃	ZQD_TMP9
主驱动电机10电流	A	ZQD_DL10
主驱动电机10扭矩	Nm	ZQD_TQ10
主驱动电机10速度	rpm	ZQD_SD10
主驱动电机10温度	℃	ZQD_TMP10
主驱动电机11电流	A	ZQD_DL11
主驱动电机11扭矩	Nm	ZQD_TQ11
主驱动电机11速度	rpm	ZQD_SD11
主驱动电机11温度	℃	ZQD_TMP11
主驱动电机12电流	A	ZQD_DL12
主驱动电机12扭矩	Nm	ZQD_TQ12
主驱动电机12速度	rpm	ZQD_SD12
主驱动电机12温度	℃	ZQD_TMP12
主驱动电机13电流	A	ZQD_DL13
主驱动电机13扭矩	Nm	ZQD_TQ13
主驱动电机13速度	rpm	ZQD_SD13
主驱动电机13温度	℃	ZQD_TMP13
主驱动电机14电流	A	ZQD_DL14
主驱动电机14扭矩	Nm	ZQD_TQ14
主驱动电机14速度	rpm	ZQD_SD14
主驱动电机14温度	℃	ZQD_TMP14
主驱动电机15电流	A	ZQD_DL15
主驱动电机15扭矩	Nm	ZQD_TQ15
主驱动电机15速度	rpm	ZQD_SD15
主驱动电机15温度	℃	ZQD_TMP15
主驱动电机16电流	A	ZQD_DL16
主驱动电机16扭矩	Nm	ZQD_TQ16
主驱动电机16速度	rpm	ZQD_SD16
主驱动电机16温度	℃	ZQD_TMP16
变频柜水冷单元1#水泵运行		BPG_SL_SB_RUN1
变频柜水冷单元2#水泵运行		BPG_SL_SB_RUN2
变频柜水冷单元工作模式(1:自动||0：手动)		BPQ_SL_RUN
变频冷却外循环水流量	cm/s	BPLQ_WXH_FLOW
变频冷却内循环水压力	bar	BPLQ_NXH_PRS
变频冷却外循环水温度	℃	BPLQ_WXH_TMP
变频冷却内循环出水温度	℃	BPLQ_NXH_CTMP
变频冷却内循环回水温度	℃	BPLQ_NXH_HTMP
刀盘速度设置	%	DP_SD_SZ
1#刀盘制动器压力开关		DP_ZDQ_PRS1
1#刀盘制动器行程开关		DP_ZDQ_XC1
2#刀盘制动器压力开关		DPZDQ_PRS
2#刀盘制动器行程开关		DPZDQ_XC
刀盘变频柜加热运行		DP_BPQ_JRRUN
顶推工作状态		DT_GZ
推进泵出口压力	bar	TJB_CK_PRS
推进速度平均值	mm/min	TJSD
贯入度	mm/r	GRD
总推进力	KN	TJL
推进速度设置	%	TJSD_SET
推力中心X	mm	TL_ZX_X
推力中心Y	mm	TL_ZX_Y
A区油缸压力设置值	%	YG_PRS_SETA
B区油缸压力设置值	%	YG_PRS_SETB
C区油缸压力设置值	%	YG_PRS_SETC
D区油缸压力设置值	%	YG_PRS_SETD
E区油缸压力设置值	%	YG_PRS_SETE
F区油缸压力设置值	%	YG_PRS_SETF
拼装机角度	°	PZJ_JD
碎石机液压油箱温度	℃	SSJ_YY_TMP
碎石机左油缸有杆腔压力	bar	SSJ_ZYG_YGQ_PRS
碎石机左油缸无杆腔压力	bar	SSJ_ZYG_WGQ_PRS
碎石机右油缸有杆腔压力	bar	SSJ_YYG_YGQ_PRS
碎石机右油缸无杆腔压力	bar	SSJ_YYG_WGQ_PRS
碎石机左油缸行程	mm	SSJ_ZYG_XC
碎石机右油缸行程	mm	SSJ_YYG_XC
尾盾密封压力1.1	bar	DW_PRS1.1
尾盾密封压力1.2	bar	DW_PRS1.2
尾盾密封压力1.3	bar	DW_PRS1.3
尾盾密封压力1.4	bar	DW_PRS1.4
尾盾密封压力1.5	bar	DW_PRS1.5
尾盾密封压力1.6	bar	DW_PRS1.6
尾盾密封压力1.7	bar	DW_PRS1.7
尾盾密封压力1.8	bar	DW_PRS1.8
尾盾密封压力1.9	bar	DW_PRS9
尾盾密封压力1.10	bar	DW_PRS10
尾盾密封压力1.11	bar	DW_PRS11
尾盾密封压力1.12	bar	DW_PRS12
尾盾密封压力1.13	bar	DW_PRS13
尾盾密封压力1.14	bar	DW_PRS14
尾盾密封压力1.15	bar	DW_PRS15
尾盾密封压力1.16	bar	DW_PRS16
尾盾密封压力1.17	bar	DW_PRS17
尾盾密封压力1.18	bar	DW_PRS18
尾盾密封压力1.19	bar	DW_PRS19
尾盾密封压力1.20	bar	DW_PRS20
尾盾密封压力2.1	bar	DW_PRS2.1
尾盾密封压力2.2	bar	DW_PRS2.2
尾盾密封压力2.3	bar	DW_PRS2.3
尾盾密封压力2.4	bar	DW_PRS2.4
尾盾密封压力2.5	bar	DW_PRS29
尾盾密封压力2.6	bar	DW_PRS30
尾盾密封压力2.7	bar	DW_PRS31
尾盾密封压力2.8	bar	DW_PRS32
尾盾密封压力2.9	bar	DW_PRS33
尾盾密封压力2.10	bar	DW_PRS34
尾盾密封压力2.11	bar	DW_PRS35
尾盾密封压力2.12	bar	DW_PRS36
尾盾密封压力2.13	bar	DW_PRS37
尾盾密封压力2.14	bar	DW_PRS38
尾盾密封压力2.15	bar	DW_PRS39
尾盾密封压力2.16	bar	DW_PRS40
尾盾密封压力2.17	bar	DW_PRS41
尾盾密封压力2.18	bar	DW_PRS42
尾盾密封压力2.19	bar	DW_PRS43
尾盾密封压力2.20	bar	DW_PRS44
尾盾密封压力3.1	bar	DW_PRS3.1
尾盾密封压力3.2	bar	DW_PRS3.2
尾盾密封压力3.3	bar	DW_PRS3.3
尾盾密封压力3.4	bar	DW_PRS3.4
尾盾密封压力3.5	bar	DW_PRS53
尾盾密封压力3.6	bar	DW_PRS54
尾盾密封压力3.7	bar	DW_PRS55
尾盾密封压力3.8	bar	DW_PRS56
尾盾密封压力3.9	bar	DW_PRS57
尾盾密封压力3.10	bar	DW_PRS87_1
尾盾密封压力3.11	bar	DW_PRS59
尾盾密封压力3.12	bar	DW_PRS60
尾盾密封压力3.13	bar	DW_PRS61
尾盾密封压力3.14	bar	DW_PRS62
尾盾密封压力3.15	bar	DW_PRS63
尾盾密封压力3.16	bar	DW_PRS64
尾盾密封压力3.17	bar	DW_PRS65
尾盾密封压力3.18	bar	DW_PRS66
尾盾密封压力3.19	bar	DW_PRS67
尾盾密封压力3.20	bar	DW_PRS68
尾盾密封压力4.1	bar	DW_PRS4.1
尾盾密封压力4.2	bar	DW_PRS4.2
尾盾密封压力4.3	bar	DW_PRS4.3
尾盾密封压力4.4	bar	DW_PRS4.4
尾盾密封压力4.5	bar	DW_PRS77
尾盾密封压力4.6	bar	DW_PRS78
尾盾密封压力4.7	bar	DW_PRS79
尾盾密封压力4.8	bar	DW_PRS80
尾盾密封压力4.9	bar	DW_PRS81
尾盾密封压力4.10	bar	DW_PRS82
尾盾密封压力4.11	bar	DW_PRS83
尾盾密封压力4.12	bar	DW_PRS84
尾盾密封压力4.13	bar	DW_PRS85
尾盾密封压力4.14	bar	DW_PRS86
尾盾密封压力4.15	bar	DW_PRS87_2
尾盾密封压力4.16	bar	DW_PRS88
尾盾密封压力4.17	bar	DW_PRS89
尾盾密封压力4.18	bar	DW_PRS90
尾盾密封压力4.19	bar	DW_PRS91
尾盾密封压力4.20	bar	DW_PRS92
SSF1.1通道计数器		DW_CNT1.1
SSF1.2通道计数器		DW_CNT1.2
SSF1.3通道计数器		DW_CNT1.3
SSF1.4通道计数器		DW_CNT1.4
SSF1.5通道计数器		DW_CNT5
SSF1.6通道计数器		DW_CNT1.6_6
SSF1.7通道计数器		DW_CNT1.7
SSF1.8通道计数器		DW_CNT1.8
SSF1.9通道计数器		DW_CNT1.9
SSF1.10通道计数器		DW_CNT1.10
SSF1.11通道计数器		DW_CNT1.11
SSF1.12通道计数器		DW_CNT1.12
SSF1.13通道计数器		DW_CNT1.13
SSF1.14通道计数器		DW_CNT1.14
SSF1.15通道计数器		DW_CNT1.15
SSF1.16通道计数器		DW_CNT1.16
SSF1.17通道计数器		DW_CNT1.17
SSF1.18通道计数器		DW_CNT1.18
SSF1.19通道计数器		DW_CNT1.19
SSF1.20通道计数器		DW_CNT1.20
SSF2.1通道计数器		DW_CNT2.1
SSF2.2通道计数器		DW_CNT2.2
SSF2.3通道计数器		DW_CNT2.3
SSF2.4通道计数器		DW_CNT2.4
SSF2.5通道计数器		DW_CNT2.5
SSF2.6通道计数器		DW_CNT2.6
SSF2.7通道计数器		DW_CNT2.7
SSF2.8通道计数器		DW_CNT2.8
SSF2.9通道计数器		DW_CNT2.9
SSF2.10通道计数器		DW_CNT2.10
SSF2.11通道计数器		DW_CNT2.11
